id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
49802124,City Side Apartment Burnie,401649838,Heather,,Burnie,-41.05404,145.90309,Entire home/apt,,2,119,2024-02-15,3.67,2,1,36,DA2021/69
37058733,Studio Superior,278730927,Lauren,,Hobart,-42.88198,147.32993,Hotel room,299,1,22,2024-01-02,0.42,1,357,6,"Exempt: This listing is a hotel, motel, or caravan park"
22802269,‘Farmlet by the Sea’-FarmStay in Penguin Tasmania,168501712,Michelle,,Central Coast,-41.11781,146.09141,Entire home/apt,226,2,119,2024-03-01,1.62,1,242,29,Exempt: This listing falls under Section 12 of the Land Use Planning and Approvals Act 1993
766856347559783004,Family Room,488914521,Aylin,,Devonport,-41.1726781,146.3632216,Private room,153,1,38,2024-01-31,2.42,5,214,25,"Exempt: This listing is a hotel, motel, or caravan park"
43080117,Accessible Home with a View,89794139,Victoria,,Launceston,-41.44928,147.15429,Private room,,1,0,,,1,0,0,Exempt: This listing falls under the 'home sharing' exemption
45899955,"Hobart Town House -Central location, 3br, parking",184740804,Maria,,Hobart,-42.87407,147.32425,Entire home/apt,300,1,148,2024-02-16,3.79,2,154,30,PLN20802
43303206,Adelaide Heritage Guest room No Breakfast,4520285,Linda & Andre,,Launceston,-41.43668,147.14682,Private room,225,1,7,2022-09-28,0.18,12,261,0,"Exempt: This listing is a hotel, motel, or caravan park"
28118558,"Mystay on Myuna -   
2 blocks from the beach",147431333,Fiona,,Kingborough,-43.00272,147.3209,Entire home/apt,186,4,127,2024-01-25,1.98,6,0,23,2018-111
43758675,Gateway to the South East Coast Double bed,246491607,Anne,,Sorell,-42.86656,147.63676,Private room,,1,2,2021-06-06,0.06,2,0,0,Exempt: This listing falls under the 'home sharing' exemption
20888564,Studio 128 in CBD,29958565,Dale,,Launceston,-41.43809,147.14291,Hotel room,150,1,145,2022-07-04,1.84,7,0,0,
776968718390834159,Studio apartment.  Unit 7,160135076,Joanne,,Break O'Day,-41.31917,148.24767,Entire home/apt,152,1,32,2024-02-13,2.18,7,362,22,"Exempt: This listing is a hotel, motel, or caravan park"
37601080,"Haven by the Beach
Waterfront
Fully Self Contained",6218058,William,,Clarence,-43.03732,147.40842,Entire home/apt,112,1,290,2024-03-10,5.23,1,0,57,
1020605244496992403,Haven on Timsbury | Urban Escape near Mona,545610110,David,,Glenorchy,-42.82996705690614,147.29094104518572,Entire home/apt,169,1,15,2024-02-28,3.91,1,205,15,PLN-23-273
18638415,The yellow house,129502612,Pia,,Kentish,-41.2762,146.311,Entire home/apt,150,1,7,2024-03-10,0.58,2,32,7,K-DA 004/2023
1034120968952224839,Waubs Bay Spa Villa,9974653,Kerri,,Glamorgan/Spring Bay,-41.87301738722351,148.29833161085844,Entire home/apt,254,2,7,2024-02-21,2.80,1,61,7,419460
1085307864349575074,The Crib,227519255,Kathie,,West Tamar,-41.426347,147.1065357,Entire home/apt,115,2,1,2024-03-07,1,2,348,1,Exempt: This listing falls under the 'home sharing' exemption
1093121612901773525,Lovely bedroom,480102097,Ashley,,Hobart,-42.903370874701004,147.3212578197674,Private room,100,3,0,,,1,364,0,Exempt: This listing falls under the 'home sharing' exemption
1439271,Elvenhome Eco Farmstay Tasmania,7730983,Graham,,Meander Valley,-41.46443,146.46583,Entire home/apt,175,2,224,2024-03-10,1.76,1,311,28,Exempt: This listing falls under Section 12 of the Land Use Planning and Approvals Act 1993
9201879,The Gorge Garden Studio,47860873,David,,Launceston,-41.44376,147.12656,Entire home/apt,92,2,618,2024-02-23,6.10,2,49,55,Exempt: This listing falls under the 'home sharing' exemption
